dim1,dim2,label,label_name
43.861553,2.8991036,4,Coat
36.279537,-1.7999728,4,Coat
-21.608683,-51.52329,1,Trouser
-8.255036,-31.060678,3,Dress
-50.336224,13.63689,7,Sneaker
43.82971,14.730136,2,Pullover
-37.492023,32.135902,9,Ankle boot
-11.4103985,0.41022655,5,Sandal
38.873642,13.558366,2,Pullover
-8.098264,-1.2007704,5,Sandal
37.246113,32.868515,2,Pullover
16.093395,7.1376877,6,Shirt
19.069742,23.745352,2,Pullover
-24.541433,-53.038757,1,Trouser
23.722946,7.7478843,4,Coat
0.8754865,-6.1527147,0,T-shirt/top
-42.614834,-2.1324053,7,Sneaker
-36.244892,21.574142,7,Sneaker
-4.875752,-37.357056,3,Dress
-29.795109,4.796271,7,Sneaker
1.2147086,-32.21479,3,Dress
-43.33198,18.27946,7,Sneaker
23.583136,-26.175138,6,Shirt
15.0538,-9.155253,6,Shirt
25.666952,30.563211,2,Pullover
28.522726,16.759588,4,Coat
-20.17701,48.827198,9,Ankle boot
8.896998,-39.879753,3,Dress
3.3755746,30.718416,8,Bag
-1.7368212,-53.626198,1,Trouser
23.555614,-15.781866,0,T-shirt/top
-21.576073,14.903882,8,Bag
23.840656,25.800623,6,Shirt
-10.785833,17.588045,8,Bag
31.775114,-25.45908,0,T-shirt/top
32.851994,26.483349,6,Shirt
-24.174473,49.595013,9,Ankle boot
-21.339228,41.76095,9,Ankle boot
-49.111214,17.052994,7,Sneaker
45.00066,23.516066,4,Coat
30.101814,-27.218925,6,Shirt
38.665016,-20.47635,0,T-shirt/top
6.9617,-29.56209,3,Dress
36.029858,33.750362,6,Shirt
20.014978,-40.14625,3,Dress
-47.226677,9.727322,7,Sneaker
18.793913,16.384941,2,Pullover
21.254322,-37.440826,4,Coat
-34.81453,35.56316,9,Ankle boot
-14.17362,2.0530028,5,Sandal
20.691452,-33.298817,3,Dress
27.493303,21.844969,4,Coat
1.3991985,-6.104194,0,T-shirt/top
-3.3169394,-0.82909214,5,Sandal
5.989289,-11.559257,0,T-shirt/top
-8.6262,-2.359057,5,Sandal
-26.084394,0.9437727,5,Sandal
36.40877,4.188867,4,Coat
39.830185,-17.668438,0,T-shirt/top
-28.849995,3.691345,7,Sneaker
-17.194216,45.202797,9,Ankle boot
5.498958,-17.738184,3,Dress
7.2465277,0.3604786,6,Shirt
-2.1680858,-5.8006525,2,Pullover
-31.264418,19.609087,5,Sandal
0.13553585,26.356693,8,Bag
-6.458982,-6.5318336,5,Sandal
-28.443243,28.078625,9,Ankle boot
-49.9873,5.9824142,7,Sneaker
3.3992624,-41.31163,3,Dress
-16.673088,50.45509,9,Ankle boot
-32.435604,29.448496,9,Ankle boot
-15.473946,-0.0313629,5,Sandal
36.446243,23.369139,6,Shirt
21.761549,-34.293755,3,Dress
-34.95402,23.517365,7,Sneaker
-47.169937,17.740917,5,Sandal
36.894646,11.0548315,2,Pullover
19.096725,18.245192,8,Bag
-32.71967,1.3282238,5,Sandal
41.663754,2.6526275,2,Pullover
0.9569424,-38.61021,3,Dress
40.844322,-16.591482,0,T-shirt/top
-53.498314,3.6791925,7,Sneaker
-25.697361,35.852474,9,Ankle boot
28.627188,5.672338,6,Shirt
-14.788431,-60.057858,1,Trouser
25.134861,29.983482,6,Shirt
13.516818,6.5501046,4,Coat
-33.852375,29.37478,9,Ankle boot
12.273202,-8.560515,6,Shirt
37.654495,11.664878,2,Pullover
-7.2692046,19.324703,8,Bag
-44.193733,5.315321,7,Sneaker
25.656199,6.2385063,2,Pullover
31.995476,22.080887,6,Shirt
-18.204746,13.725525,8,Bag
-16.672512,-44.012646,1,Trouser
-19.559883,-44.44087,1,Trouser
-32.875813,-5.383648,5,Sandal
31.903677,33.44062,2,Pullover
