dim1,dim2,label,label_name
7.064316,1.8172133,4,Coat
7.279633,2.4472096,4,Coat
12.169521,12.158067,1,Trouser
7.0216007,8.343275,3,Dress
-1.1382444,9.852557,7,Sneaker
6.850231,0.7386819,2,Pullover
-1.5547521,7.4059424,9,Ankle boot
3.7774053,6.2154474,5,Sandal
6.3410254,1.1209977,2,Pullover
3.7157447,6.22454,5,Sandal
5.0141172,0.46247232,2,Pullover
5.1477776,3.7713454,6,Shirt
4.501191,2.0011456,2,Pullover
12.344713,12.398006,1,Trouser
5.8589883,2.7597978,4,Coat
4.801737,5.921673,0,T-shirt/top
0.50073093,9.7430725,7,Sneaker
-0.91318244,8.252008,7,Sneaker
7.5347486,8.451797,3,Dress
0.29344174,8.376526,7,Sneaker
7.552976,7.7334557,3,Dress
-1.0039939,8.742495,7,Sneaker
7.9292955,5.6265264,6,Shirt
5.9085245,5.206869,6,Shirt
4.824677,1.1203048,2,Pullover
5.8520784,1.7659191,4,Coat
-1.8932977,4.918231,9,Ankle boot
8.489336,7.7110696,3,Dress
2.3406804,3.2775733,8,Bag
10.360049,11.796004,1,Trouser
7.035064,5.0696893,0,T-shirt/top
0.8158769,4.785403,8,Bag
4.9491415,1.1180017,6,Shirt
0.53732383,4.071462,8,Bag
8.590251,5.0508037,0,T-shirt/top
5.1848974,0.6249508,6,Shirt
-2.014528,5.1505213,9,Ankle boot
-1.6731886,5.3884745,9,Ankle boot
-1.0994192,9.690138,7,Sneaker
6.1172004,0.44682917,4,Coat
8.887938,5.170395,6,Shirt
8.493629,4.1364985,0,T-shirt/top
7.7069077,7.1885185,3,Dress
5.4917283,0.28934994,6,Shirt
9.013618,6.6755586,3,Dress
-0.5728335,9.782205,7,Sneaker
5.0089993,2.5924075,2,Pullover
9.145979,6.5073323,4,Coat
-1.5290775,6.946472,9,Ankle boot
0.5863028,7.4995217,5,Sandal
8.94908,6.4744534,3,Dress
5.257021,1.4927174,4,Coat
4.8808885,5.8879876,0,T-shirt/top
4.2977324,5.9376726,5,Sandal
6.164741,5.5272746,0,T-shirt/top
3.7135732,6.2570553,5,Sandal
0.5536553,8.040317,5,Sandal
6.8725677,2.2727149,4,Coat
8.242708,4.184484,0,T-shirt/top
0.38309312,8.262964,7,Sneaker
-1.6886224,4.797253,9,Ankle boot
6.084817,6.25277,3,Dress
4.837087,4.758992,6,Shirt
4.563777,5.8822145,2,Pullover
-1.2350396,7.6839595,5,Sandal
2.336996,3.6025589,8,Bag
4.000868,5.8618217,5,Sandal
-0.70615506,7.135377,9,Ankle boot
-0.49178222,10.290347,7,Sneaker
7.9257236,7.826542,3,Dress
-1.9442188,4.5348654,9,Ankle boot
-1.1328995,7.1447062,9,Ankle boot
0.8420133,7.28693,5,Sandal
5.7989373,0.70866334,6,Shirt
8.958068,6.4999347,3,Dress
-0.78761274,7.866904,7,Sneaker
-0.7396891,9.396871,5,Sandal
6.594148,1.5865767,2,Pullover
4.917138,2.2848954,8,Bag
0.60410434,8.793587,5,Sandal
7.2243133,1.8743848,2,Pullover
7.9354115,8.056649,3,Dress
7.9657745,4.256138,0,T-shirt/top
-0.42466605,10.437548,7,Sneaker
-1.1636674,6.632417,9,Ankle boot
6.290157,2.4326334,6,Shirt
11.030634,12.224146,1,Trouser
5.1487975,1.2293446,6,Shirt
4.956417,3.8059535,4,Coat
-1.2361491,7.3827324,9,Ankle boot
5.8383336,5.3804564,6,Shirt
6.6096396,1.4943824,2,Pullover
0.65476984,3.8273866,8,Bag
-0.41661558,10.024082,7,Sneaker
6.145916,2.6206136,2,Pullover
5.364502,1.1401106,6,Shirt
1.1132566,5.0792527,8,Bag
12.178729,11.192274,1,Trouser
12.295238,11.36522,1,Trouser
1.1436869,9.018535,5,Sandal
4.61994,0.67331326,2,Pullover
7.5849924,8.2485695,3,Dress
5.2403407,3.5073636,1,Trouser
11.848118,12.036502,1,Trouser
0.38882682,8.314816,5,Sandal
4.2284713,5.5901484,5,Sandal
2.4310918,3.1696506,8,Bag
4.844461,3.7330592,6,Shirt
0.7337317,8.749514,5,Sandal
8.519318,4.145671,0,T-shirt/top
3.1357698,3.853359,8,Bag
-1.85855,4.0969706,9,Ankle boot
4.8703976,3.8021193,2,Pullover
10.792408,12.078675,1,Trouser
-0.3609658,10.099618,7,Sneaker
0.57180125,9.538634,7,Sneaker
-0.88771844,9.255264,5,Sandal
5.3425117,4.64672,3,Dress
8.460391,5.148159,6,Shirt
7.814234,5.116249,0,T-shirt/top
6.3194275,5.4691963,0,T-shirt/top
8.516115,4.360704,0,T-shirt/top
5.4559116,3.606989,2,Pullover
-1.9445513,5.438094,9,Ankle boot
3.2523425,4.15027,8,Bag
4.8931656,3.462454,2,Pullover
1.071165,4.2290735,8,Bag
-0.19888714,10.059598,5,Sandal
7.195638,2.799569,4,Coat
-1.6867751,6.040505,9,Ankle boot
5.7186313,3.3205864,2,Pullover
12.122966,12.286401,1,Trouser
0.5685273,9.769703,7,Sneaker
0.6562991,7.4165764,5,Sandal
2.413602,3.1571536,8,Bag
6.060048,0.42343524,2,Pullover
0.6249618,4.311266,8,Bag
5.8012486,0.6253865,6,Shirt
6.113283,1.4633312,6,Shirt
7.676883,8.24463,3,Dress
-0.80409086,9.7480755,7,Sneaker
5.276144,0.28205508,4,Coat
5.9324193,0.7184525,4,Coat
6.18451,0.93458885,4,Coat
6.7113924,2.1126285,6,Shirt
1.2940851,9.547846,5,Sandal
7.908782,7.4826283,3,Dress
6.40367,5.130686,6,Shirt
-0.67295116,9.951525,5,Sandal
4.6580467,6.077548,0,T-shirt/top
3.139209,4.050052,8,Bag
5.560066,4.531638,3,Dress
11.030223,11.780009,1,Trouser
11.638809,12.266695,1,Trouser
0.5218223,4.056559,8,Bag
8.01558,6.4162083,6,Shirt
0.89626926,9.158486,5,Sandal
-0.39821184,9.996823,7,Sneaker
5.8816943,0.5948187,2,Pullover
4.994734,5.0333223,4,Coat
0.94261444,4.4462495,8,Bag
6.9865866,8.182746,3,Dress
-0.7379796,9.604716,7,Sneaker
-0.7253082,9.483991,7,Sneaker
7.0353885,7.516751,3,Dress
2.961973,3.686069,8,Bag
-0.30320147,10.226931,7,Sneaker
4.5999656,6.066296,6,Shirt
-0.8802952,9.290883,7,Sneaker
2.753145,3.4298558,8,Bag
7.159784,1.8345848,4,Coat
