地市,地区生产总值(亿元),城镇居民人均可支配收入(元),载客汽车(辆),旅游业总收入(亿元),住宿业法人企业数,餐饮业法人企业数,星级饭店数(个),高速公路里程(公里),博物馆数(个),艺术馆文化馆个数
长沙市,14517.55,69658,3234220,2193.05,229,568,43,779,21,11
株洲市,3688.41,35768,660591,624.0,182,389,19,490,8,10
湘潭市,2788.38,51001,453951,458.88,54,131,12,284,5,8
衡阳市,4251.21,47927,775537,646.17,171,220,25,697,17,14
邵阳市,2781.54,22930,722373,519.47,151,220,25,616,1,13
岳阳市,4910.67,45763,782402,727.64,124,189,36,658,12,12
常德市,4396.59,32564,750998,586.24,130,279,18,538,14,10
张家界市,624.26,34243,206998,514.62,48,25,19,185,5,5
益阳市,2163.57,41181,544224,452.39,68,97,10,524,9,10
郴州市,3141.99,45933,608940,731.52,141,135,20,579,11,14
永州市,2549.41,40702,580863,539.57,87,147,25,492,5,12
怀化市,1978.38,37742,487660,534.81,100,132,29,811,10,15
娄底市,2020.53,39826,494486,392.07,57,67,15,395,4,6
湘西土家族苗族自治州,855.01,21550,236012,644.75,57,28,24,482,7,10
